,VESSEL_HASH,speed,LON,LAT,COURSE,HEADING,TIMESTAMP,departurePortName,status,avg_speed,waypoints
0,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.354052,35.92466,314,52,2015-04-01 20:29:00,CEUTA,stationary,0.0,-1
1,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.35406,35.92488,224,71,2015-04-01 20:50:00,CEUTA,sailing,0.019413175175646016,-1
2,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.354057,35.92453,155,59,2015-04-01 21:11:00,CEUTA,sailing,0.03086533129728601,-1
3,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.354183,35.92457,316,49,2015-04-01 21:32:00,CEUTA,sailing,0.011657568162154606,-1
4,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.3539,35.9243,87,33,2015-04-01 21:53:00,CEUTA,sailing,0.03449189444749802,-1
5,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.354187,35.92459,250,55,2015-04-01 22:14:00,CEUTA,sailing,0.03597937631430519,-1
6,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354162,35.92451,157,48,2015-04-01 22:35:00,CEUTA,sailing,0.007391117555121243,-1
7,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354311,35.92447,226,44,2015-04-01 22:56:00,CEUTA,sailing,0.013604561480598045,-1
8,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.354269,35.92443,335,39,2015-04-01 23:17:00,CEUTA,sailing,0.005114638447857556,-1
9,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354537,35.92492,316,62,2015-04-01 23:38:00,CEUTA,sailing,0.0492505790734806,-1
10,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.3545,35.92506,192,84,2015-04-01 23:59:00,CEUTA,sailing,0.012769556243328616,-1
11,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354496,35.92467,171,57,2015-04-02 00:20:00,CEUTA,sailing,0.03439334323492774,-1
12,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354498,35.92488,160,64,2015-04-02 00:41:00,CEUTA,sailing,0.01851935834182405,-1
13,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354158,35.92437,145,23,2015-04-02 01:02:00,CEUTA,sailing,0.05405147414707618,-1
14,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.353853,35.92416,22,12,2015-04-02 01:23:00,CEUTA,sailing,0.03265466748035679,-1
15,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.353231,35.92405,68,12,2015-04-02 01:44:00,CEUTA,sailing,0.055701217179474335,WP_1
16,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.4,-5.35168,35.92468,355,337,2015-04-02 02:05:00,CEUTA,sailing,0.14762497380534365,WP_1
17,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.351978,35.92508,346,328,2015-04-02 02:26:00,CEUTA,sailing,0.043986116944565994,WP_1
18,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.351905,35.92533,222,312,2015-04-02 02:47:00,CEUTA,sailing,0.022966491383414223,-1
19,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.351887,35.92529,51,318,2015-04-02 03:08:00,CEUTA,sailing,0.0038680268434148858,-1
20,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.351932,35.92522,154,327,2015-04-02 03:29:00,CEUTA,sailing,0.007338323181683238,WP_1
21,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.3,-5.352643,35.92492,246,3,2015-04-02 03:50:00,CEUTA,sailing,0.0680511526695096,WP_1
22,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.6,-5.354185,35.9248,286,20,2015-04-02 04:08:00,CEUTA,sailing,0.15912162681461525,-1
23,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.9,-5.354862,35.9251,302,44,2015-04-02 04:11:00,CEUTA,sailing,0.45709407638460003,-1
24,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.7,-5.35529,35.92564,1,95,2015-04-02 04:14:00,CEUTA,sailing,0.42533686229424367,-1
25,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.355035,35.92598,52,122,2015-04-02 04:17:00,CEUTA,sailing,0.2623456790130501,-1
26,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.355186,35.92584,229,115,2015-04-02 04:38:00,CEUTA,sailing,0.01815829197717393,-1
27,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.355205,35.92577,15,106,2015-04-02 04:59:00,CEUTA,sailing,0.006396186174957955,-1
28,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355182,35.92576,32,101,2015-04-02 05:20:00,CEUTA,sailing,0.0022116289602226377,-1
29,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.35516,35.92591,14,103,2015-04-02 05:41:00,CEUTA,sailing,0.013369025508903364,-1
30,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355072,35.92604,16,114,2015-04-02 06:02:00,CEUTA,sailing,0.013843392912197054,-1
31,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354988,35.92606,9,115,2015-04-02 06:23:00,CEUTA,sailing,0.0076144737724608445,-1
32,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.35518,35.92574,234,103,2015-04-02 06:44:00,CEUTA,sailing,0.0329083704825393,-1
33,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.355225,35.92578,297,100,2015-04-02 07:05:00,CEUTA,sailing,0.005309345052709911,-1
34,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.35505,35.92603,73,109,2015-04-02 07:26:00,CEUTA,sailing,0.0269103959778012,-1
35,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355142,35.9259,224,106,2015-04-02 07:47:00,CEUTA,sailing,0.014044161588321237,-1
36,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355282,35.92561,325,89,2015-04-02 08:08:00,CEUTA,sailing,0.028397252536315365,-1
37,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.0,-5.355292,35.92552,12,91,2015-04-02 08:29:00,CEUTA,sailing,0.007985348446347008,-1
38,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.35528,35.92546,320,86,2015-04-02 08:50:00,CEUTA,sailing,0.005395787844888962,-1
39,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355245,35.92557,312,97,2015-04-02 09:11:00,CEUTA,sailing,0.010179361887604646,-1
40,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.354912,35.92475,147,25,2015-04-02 09:32:00,CEUTA,sailing,0.07804551653008597,-1
41,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.354703,35.92442,349,15,2015-04-02 09:53:00,CEUTA,sailing,0.03444587124381169,-1
42,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.2,-5.355327,35.92523,357,69,2015-04-02 10:14:00,CEUTA,sailing,0.09016624406685272,-1
43,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355338,35.92506,349,59,2015-04-02 10:35:00,CEUTA,sailing,0.015022531800812505,-1
44,0x6d6794f3186f584637721a1e1789fd2e71c28195,0.1,-5.355407,35.92521,16,68,2015-04-02 10:56:00,CEUTA,sailing,0.01455988138164201,-1
